Customer ID,Interaction Type,Interaction Data,Source,Timestamp
1001,Social Media,"{""platform"": ""Twitter"", ""sentiment"": ""positive"", ""engagement"": {""likes"": 10, ""retweets"": 2, ""comments"": 0}}",Twitter API,2023-08-15 10:32:00
1002,Website Analytics,/products/category/electronics/product/laptop-x1,Web Server Logs,2023-08-16 14:45:30
1003,Email Campaign,Opened email with subject 'Summer Sale!',Email Marketing Platform,2023-08-17 9:12:00
1004,Social Media,<interaction><platform>Facebook</platform><sentiment>neutral</sentiment><engagement>5 likes</engagement></interaction>,Facebook API,2023-08-18 11:20:15
1005,Website Analytics,/contact-us,Web Server Logs,2023-08-19 16:08:45
1006,Email Campaign,Clicked link 'Shop Now' in email 'New Arrivals',Email Marketing Platform,2023-08-20 13:35:20
1007,Social Media,"{""platform"": ""Instagram"", ""sentiment"": ""negative"", ""engagement"": {""likes"": 3, ""comments"": 1}}",Instagram API,2023-08-21 8:50:00
1008,Website Analytics,/checkout/success,Web Server Logs,2023-08-22 12:15:30
1009,Email Campaign,Unsubscribed from mailing list,Email Marketing Platform,2023-08-23 15:40:00
1010,Social Media,"{""platform"": ""Twitter"", ""sentiment"": null, ""engagement"": {""likes"": 0, ""retweets"": 0, ""comments"": 0}}",Twitter API,2023-08-24 10:05:15
1011,Website Analytics,/products/category/apparel/product/t-shirt-blue,Web Server Logs,2023-08-14 9:20:00
1012,Email Campaign,Opened email with subject 'Weekly Newsletter',Email Marketing Platform,2023-08-13 11:30:00
1013,Social Media,<interaction><platform>LinkedIn</platform><sentiment>positive</sentiment><engagement>2 shares</engagement></interaction>,LinkedIn API,2023-08-12 14:15:00
1014,Website Analytics,/about-us,Web Server Logs,2023-08-11 16:40:00
1015,Email Campaign,Bounced email with subject 'Exclusive Offer',Email Marketing Platform,2023-08-10 18:25:00
1016,Social Media,"{""platform"": ""Facebook"", ""sentiment"": ""positive"", ""engagement"": {""likes"": 8, ""comments"": 2}}",Facebook API,2023-08-09 20:10:00
1017,Website Analytics,/blog/article/new-product-launch,Web Server Logs,2023-08-08 22:35:00
1018,Email Campaign,Clicked link 'Learn More' in email 'Webinar Invitation',Email Marketing Platform,2023-08-07 0:20:00
1019,Social Media,N/A,N/A,2023-08-06 2:45:00
1020,Website Analytics,/search?q=customer+service,Web Server Logs,2023-08-05 4:30:00
